color_missing2,tx id,time,auction,color,color_nan,shirt size,condition
False,8dbf3cfa48b25f32e300f279bb4163c67d5c60cd,3:36 PM,$17.18,Puce,0,S,used
False,8ccebfdb1a41830bdcc0e926531f3215986b3a90,9:03 AM,$15.19,Aquamarine,0,L,never worn
False,ae85a421a91cec8baf16ff1e45fb3e239130b584,7:42 PM,$7.58,Violet,0,L,used
False,85e44f09a04a79182befcfd55e288a855f633e81,10:28 PM,$9.10,Goldenrod,0,XS,
True,ff750bfca4910cfa7f538fbe5463457839021680,6:38 AM,$8.22,,1,2XL,used
False,d015e1f1a00c7123408f0939a474cad0bd302cd6,10:04 PM,$11.71,Fuscia,0,XS,Never Worn
False,8cd6396961868c674f81e3382f155d4892d79cf6,7:27 AM,$4.70,Turquoise,0,L,Never Worn
False,7909ac5a047d2a2ca00843de524057f232b4dab7,3:40 AM,$14.54,Crimson,0,L,
False,d265002c31ffee436de5d1dfdb3020eefed5ba68,12:25 AM,$6.11,Yellow,0,XS,Used
False,f5c24c01d7ce56aefc241d9a4326cd2c96dbd2d5,12:57 AM,$13.47,Green,0,M,used
False,9dcf26b4b2d22d39832e9bef1dba2021488f26c1,9:34 AM,$9.70,Turquoise,0,M,Never Worn
False,443e79450fb7e0b2b0c3ff3b3124d701ea8c1854,2:08 AM,$18.30,Turquoise,0,L,used
False,610f4f00f4bf19d2a9db871cfcf3c528e8c11bb5,6:20 AM,$18.06,Pink,0,XS,Used
False,d211f872d0b800191632a77013dc4cf31771e648,10:00 PM,$16.86,Purple,0,3XL,used
False,360696a558414d4b024069353201c6167b26010a,2:46 PM,$7.59,Green,0,M,used
False,e3d464d75d9696bfa4f2369544c750222bbc88bc,11:54 PM,$7.15,Goldenrod,0,XL,Never Worn
False,2ce541ba4fc1cff41b53e47689a617e5384c4d90,2:22 PM,$14.85,Teal,0,XS,Never Worn
False,8308a089db11c3e31970bfb919f945dddff5304f,6:03 AM,$12.97,Goldenrod,0,S,used
False,2440c6a689ff2572ace9ceca511ede828f93608a,4:11 AM,$9.04,Teal,0,3XL,used
False,daeac423b5ec14fac3063c2214e382092a12f75a,1:41 AM,$10.20,Fuscia,0,2XL,never worn
False,1c10f0bba60c033835eec07cae2b0fbc1d28eb47,10:10 PM,$18.52,Goldenrod,0,XS,used
False,21cea11030e3aeedf17687990959a4db5d331c68,1:06 AM,$4.62,Mauv,0,S,used
False,cf7b2a23ab79371a5cda98bd48534c1e40382bb7,3:05 AM,$10.99,Puce,0,S,Never Worn
False,1062ac89fac8c048c0b5e7e2f8cc9f9219467a29,8:59 AM,$13.77,Teal,0,3XL,used
True,512e7c4e5a8973ce6e39bb4818b1d5fedb6f4d54,5:22 AM,$6.82,,1,XL,used
False,9b4b381f38e389e76a87640d4c9e46d0df27a207,11:14 AM,$18.66,Mauv,0,3XL,used
False,a45b19c880af0328f882d4e7e74d5bad487e598c,10:40 AM,$18.90,Green,0,2XL,Used
False,f87e2ff8c0f1cb6ee57dbb51269a9571010a8df5,3:27 PM,$3.72,Khaki,0,2XL,used
False,ca5ee13db39ccb2427a135df4deabd63b46c512a,1:50 PM,$11.68,Khaki,0,M,used
False,a57f254bef731737a5dca84e17225b1e9c6c480a,7:14 AM,$4.90,Pink,0,M,used
False,92ece83ba37db5e3e40297eac00a1e0f46d62cec,3:36 AM,$14.77,Aquamarine,0,3XL,
True,cedebcdd057263f3f0df920828f9621bc8089c6b,6:14 PM,$17.06,,1,XS,Used
False,dc7814dc31f0436994f15d1c2d2296f0e4e82560,5:28 PM,$13.74,Goldenrod,0,2XL,used
False,018fbc548addbcc2443ffa6644eaefe18aa9b86f,12:38 PM,$18.36,Red,0,XL,
False,b2ba18448c134aa7058c3b596031ec6d31a8f5f2,6:14 PM,$14.71,Khaki,0,2XL,used
False,083881cb0ffdc1319aed1047ad6af2f923240c37,4:44 PM,$16.88,Goldenrod,0,2XL,used
False,55a05b7de407ff5b8f7337fe9e6c30b411446d8a,11:39 PM,$9.30,Indigo,0,2XL,Never Worn
False,9c7160f3a95807be9f583ac443182e7cf8fdb071,11:10 AM,$4.20,Fuscia,0,3XL,
False,be9b60d578f2216ae4d336074adf93c72d21845b,3:46 PM,$8.54,Yellow,0,L,used
False,76d61a7de1c12e35ad46360028a11dbe703c6ac5,1:23 PM,$17.24,Yellow,0,XL,used
False,ed470058d964d185f407879ee4dbeee7f520806a,6:41 AM,$9.36,Purple,0,XS,Used
False,ae20d5835c77732db80f248964c0bca7bceb8aa8,4:08 AM,$11.63,Fuscia,0,M,used
False,4a4ab822e53d88373b3124379fae13b5edd0a21f,5:07 PM,$12.01,Blue,0,XL,used
False,7dcf06f811cac58685c1f2157976c421c5169c09,1:50 PM,$12.66,Aquamarine,0,2XL,used
False,b864832c740545b41953f9e0ac1fc1bf04496a64,1:56 PM,$10.95,Turquoise,0,S,used
False,f2416f802f78c539906ba500fb86195306d82854,4:03 AM,$10.99,Khaki,0,XL,Never Worn
False,d6376e64a7233d97d485ba6486c837cbde271913,9:09 AM,$18.91,Green,0,L,
False,6c3642dfed56576a92f8664c413599e6685bfd43,10:33 AM,$15.29,Violet,0,M,used
False,bc3a9e1d6edac5828792cfa998a9322e80223302,6:49 PM,$7.64,Orange,0,XL,never worn
False,5c439fdb7d8b15d32fb8ba9312a682e16270844c,7:47 AM,$4.35,Yellow,0,3XL,Used
False,55205e8ff26fc7a480d44414bdf826a4f20d0039,8:18 AM,$4.88,Violet,0,3XL,Never Worn
False,66cfa219fc6d7d706abd3c8a238d7edd14715239,3:01 AM,$14.78,Crimson,0,S,used
False,7fcc70ae265187119ffaf253519fa456201d7fc5,8:43 PM,$17.12,Purple,0,2XL,never worn
False,380ee03e8e730ef2aceb06f721f27a7b87488f3d,2:58 PM,$4.90,Khaki,0,S,used
False,ec5bebf8b5c03a0cda147feccecc52500b7b3fbe,7:18 PM,$5.21,Teal,0,XL,Never Worn
False,2742b1da330c4f7f11830d551f0130d74236f1e1,8:24 AM,$14.62,Mauv,0,S,used
False,0a70ebdd1b5281cf4beae49437e795b72490a93c,1:45 AM,$10.08,Yellow,0,S,Used
False,535b5389632ebf359c1dec0eb5c65d947d88d956,11:57 PM,$10.32,Goldenrod,0,XS,Never Worn
False,5c98e5909c71d242cab1a384173597baab4befcd,11:24 AM,$11.09,Purple,0,S,used
False,14a28a44ef1e337e9bc450d543f0c7be6ecb48f9,2:46 AM,$11.40,Purple,0,M,Never Worn
False,4b5ddcb68533759fffa7c3852ba40cc81d46d69d,9:04 PM,$17.34,Turquoise,0,XS,used
False,4a6984eac5343ca4a13975283763de74811d2c83,1:49 PM,$5.33,Red,0,2XL,used
False,161e09469b88bbfe9a3749cc26fd216baba21289,9:15 PM,$16.19,Blue,0,XS,Never Worn
False,2b57681a6e54e22567141d34df38a6d454087d27,3:53 AM,$3.16,Mauv,0,XL,used
False,e8db924890d2d4c6b765e3ee1f0fe3f62e10fc9e,7:36 PM,$10.77,Indigo,0,XS,
False,77e1d051a2149600a0093b9f98c18b9df3778337,3:40 PM,$10.46,Crimson,0,3XL,used
False,256ab87807c5709c1379e6958245650ea31eff7a,11:58 AM,$17.82,Turquoise,0,3XL,used
False,b9ff0daf92b955c67a5140753331ada3389c1d39,5:49 AM,$3.30,Indigo,0,3XL,used
False,24de8cf59360b109975af6d33e1bc64ceb321b7b,2:01 PM,$6.88,Indigo,0,XS,never worn
False,6b64c1a5f27b9fef5d27f0e436646b2ac7c71824,11:34 PM,$7.89,Green,0,L,used
False,b63e3de5ad3dbcce3c465068c10fb3c9933690ad,7:51 PM,$12.68,Blue,0,XL,used
False,6f42d172690791c4d0bd1315a2e1ecf5661eca11,3:34 PM,$4.93,Mauv,0,M,
False,9af35fcfebab02193d5984b73e84a3f9e9f2a8b6,3:53 PM,$17.10,Violet,0,2XL,
False,66e5875e284bb7c3365bef8c14603daffeeb7ed6,7:40 PM,$7.17,Turquoise,0,2XL,used
False,29b28fd8068534aec086654887750518580fe1c2,3:15 AM,$6.89,Mauv,0,2XL,used
False,b632d3ce603bdf8d2a33a134c422d929cb9c0c8c,6:22 PM,$6.02,Violet,0,S,used
False,c7cd783e11a887537fff448df8a35870dfdd472f,11:44 PM,$8.43,Pink,0,XS,
False,75932aa4dac2b810f07d884a8010506e9c03c878,1:06 PM,$7.88,Maroon,0,XS,
False,ca2e1c45d4378a941a6b086f4f50634a24e1eb3a,8:49 PM,$16.21,Maroon,0,S,used
False,4dc1fff63f51e1f486a368ac68bbed1e3c8ae9b9,4:00 AM,$11.02,Khaki,0,3XL,used
False,6cbe5096c2bee30b2d36137ebee32739f23dfc19,6:54 AM,$4.18,Purple,0,M,Never Worn
False,cb49b9d06f1bfbbe82ab3555f3d1ac129eac4191,8:54 AM,$10.86,Turquoise,0,XS,
False,4b9e58cd546237225440bdba4f77bb09c67bf8fb,1:19 AM,$15.38,Purple,0,XS,used
False,a83cab361e3b8f9a98c2faaf2cfbf6b4e31b1735,12:06 PM,$5.39,Turquoise,0,3XL,used
False,3f0b7ae7ab609f758d44112aaf6182d3dd55284f,4:27 AM,$6.69,Yellow,0,M,used
False,8127e7ed853c5e520b15eabbcd8fae08c360eb07,3:54 AM,$3.93,Maroon,0,M,used
False,d6bc57855dc5e1e8c33955710b6d2bc3e68be8fe,11:34 AM,$4.33,Mauv,0,M,Never Worn
False,2d5ddd535ae19dae89f5941aa3ab12014fff8dc8,1:13 AM,$4.99,Maroon,0,XL,never worn
False,6f46ed1d099fd23221b63d07c98becbc47cb4eb4,5:52 PM,$2.02,Purple,0,2XL,used
False,e416918e450ce053cd007d581d6ff9dc8d19190f,3:12 PM,$15.29,Blue,0,3XL,used
False,96f53de84d8aa3785f8dac596c30e46f5e979c30,1:03 AM,$18.96,Indigo,0,XL,Never Worn
False,3642e7004167e8719a834399acbdf97e2ba9ce21,10:35 PM,$13.37,Indigo,0,XS,
False,4d0d74b530ccc594e5e1d00595eecdbe25a52020,5:48 AM,$11.48,Aquamarine,0,S,used
False,f56846b128ebb9498da4849f8182e27c370edb3b,9:44 PM,$5.16,Fuscia,0,S,used
False,42ce8dc8628e6d3f147d8304cc1230473959401c,8:56 PM,$10.06,Purple,0,XS,Never Worn
False,d0d7b5140cf6efdf14673cc69766f724f43cca20,9:17 PM,$7.03,Maroon,0,M,used
False,a1364e80001252f9624fb52e77ec3915565509cc,7:38 AM,$13.97,Blue,0,L,used
False,322380dee1a731f26b4acfa9945b78a8d1cc60f7,3:01 AM,$9.91,Aquamarine,0,3XL,Never Worn
False,a1836baee977231fed503587ceaf6adb2ca98113,11:45 PM,$13.17,Purple,0,S,Used
False,b310ff271f741bbc2c892fb75328de57c46ee355,6:39 PM,$17.44,Pink,0,L,
False,9ece3d903d3b54dd02d29dec9bf8dc2fa03539be,3:24 PM,$8.95,Yellow,0,L,Never Worn
False,7a39d57072df3001be6d6be24abe24af78c2e6da,9:15 AM,$11.16,Crimson,0,XS,
False,fdffe19e58546ec6f6e9e0e445792975dc7572f0,1:38 AM,$17.63,Aquamarine,0,M,used
False,84a537d1928e8c01ff7f7955841fc12ef75da9d8,12:36 PM,$11.57,Crimson,0,S,used
False,f5295ef798177b95ee36510b88fa92078124467f,3:20 AM,$16.90,Yellow,0,3XL,used
False,41ec5218484a0b8a0aa31a15cab1fa2a7af0627e,10:25 AM,$2.39,Green,0,M,used
False,57460b170c875b5d70cdc410b043814a17d4d2cc,2:07 AM,$17.44,Teal,0,XS,
False,5445ec593fb194333ab0b073b2c8d8f58d2bb5a1,3:29 PM,$6.74,Fuscia,0,XS,used
False,116af0dcddafc7d67cf0da8a107437a37f0e5ad2,8:50 AM,$3.28,Pink,0,XS,Never Worn
False,527c52c9f08e6d4f9b2cac8354a4884ceef33a16,7:40 PM,$11.39,Yellow,0,L,used
False,3be006cd69f9ed68a88352dab26e8edfcb9ebce5,11:56 AM,$11.26,Crimson,0,3XL,used
False,a4e4e2e4391a56853c78bac1e174eb37f352ec04,11:29 PM,$10.69,Fuscia,0,M,
